grouping_year,group,group_name,year,le_mean,le_ci_lower,le_ci_upper,le_q1,le_median,le_q3,obes_mean,obes_ci_lower,obes_ci_upper,obes_q1,obes_median,obes_q3
2013,0,Quintile 1 (poorest),1980,45.7649,43.4775,48.0523,44.4245,47.0970,50.0532,0.0269,0.0136,0.0403,0.0206,0.0321,0.0454
2013,0,Quintile 1 (poorest),1981,46.0572,43.7484,48.3660,44.7580,47.6995,50.4755,0.0271,0.0135,0.0407,0.0205,0.0317,0.0444
2013,0,Quintile 1 (poorest),1982,46.3429,43.9975,48.6884,45.0805,48.3350,50.7275,0.0272,0.0133,0.0410,0.0201,0.0311,0.0448
2013,0,Quintile 1 (poorest),1983,46.6307,44.2433,49.0182,45.3755,48.6205,51.0853,0.0273,0.0131,0.0414,0.0198,0.0304,0.0451
2013,0,Quintile 1 (poorest),1984,46.9249,44.5011,49.3486,45.6385,48.7760,51.9053,0.0273,0.0129,0.0416,0.0195,0.0289,0.0452
2013,0,Quintile 1 (poorest),1985,47.2225,44.7765,49.6685,45.8675,49.3735,52.4458,0.0272,0.0128,0.0417,0.0193,0.0274,0.0447
2013,0,Quintile 1 (poorest),1986,47.5045,45.0576,49.9513,46.0752,49.7585,52.9708,0.0271,0.0126,0.0417,0.0192,0.0260,0.0443
2013,0,Quintile 1 (poorest),1987,47.7420,45.3071,50.1769,46.2852,49.6700,53.4275,0.0271,0.0125,0.0417,0.0192,0.0259,0.0441
2013,0,Quintile 1 (poorest),1988,47.9174,45.4627,50.3722,46.4683,49.5845,53.8772,0.0271,0.0125,0.0418,0.0187,0.0256,0.0441
2013,0,Quintile 1 (poorest),1989,48.0313,45.4611,50.6015,46.3590,49.4735,54.3088,0.0272,0.0126,0.0419,0.0193,0.0247,0.0444
2013,0,Quintile 1 (poorest),1990,48.1068,45.2911,50.9226,46.3803,49.3115,54.6358,0.0274,0.0127,0.0420,0.0208,0.0241,0.0444
2013,0,Quintile 1 (poorest),1991,48.1859,45.0410,51.3307,46.3685,49.2625,54.9288,0.0275,0.0129,0.0422,0.0219,0.0240,0.0451
2013,0,Quintile 1 (poorest),1992,48.3124,44.8619,51.7629,46.4892,49.4250,55.3120,0.0279,0.0131,0.0427,0.0222,0.0259,0.0462
2013,0,Quintile 1 (poorest),1993,48.5087,44.8557,52.1617,46.5637,49.5465,55.7985,0.0284,0.0134,0.0434,0.0220,0.0285,0.0473
2013,0,Quintile 1 (poorest),1994,48.7741,45.0411,52.5070,46.5965,49.4500,55.9423,0.0290,0.0138,0.0441,0.0222,0.0304,0.0508
