grouping_year,group,group_name,year,le_mean,le_ci_lower,le_ci_upper,le_q1,le_median,le_q3,obes_mean,obes_ci_lower,obes_ci_upper,obes_q1,obes_median,obes_q3
1997,0,Quintile 1 (poorest),1980,48.2030,44.3920,52.0141,44.4245,47.0970,50.7557,0.0215,0.0021,0.0410,0.0182,0.0280,0.0507
1997,0,Quintile 1 (poorest),1981,48.5720,44.6573,52.4867,44.7580,47.6995,50.9552,0.0216,0.0020,0.0413,0.0178,0.0275,0.0500
1997,0,Quintile 1 (poorest),1982,48.8789,44.9007,52.8571,45.0805,48.3350,51.0132,0.0217,0.0019,0.0414,0.0172,0.0269,0.0491
1997,0,Quintile 1 (poorest),1983,49.1611,45.1391,53.1832,45.3755,48.6205,50.9008,0.0217,0.0019,0.0414,0.0167,0.0263,0.0483
1997,0,Quintile 1 (poorest),1984,49.4471,45.3844,53.5098,45.6385,48.7760,51.0640,0.0216,0.0019,0.0414,0.0164,0.0258,0.0474
1997,0,Quintile 1 (poorest),1985,49.7449,45.6392,53.8506,45.8675,49.3490,51.4525,0.0216,0.0019,0.0413,0.0165,0.0255,0.0466
1997,0,Quintile 1 (poorest),1986,50.0477,45.8890,54.2064,46.0752,49.5085,51.3810,0.0215,0.0019,0.0410,0.0167,0.0256,0.0456
1997,0,Quintile 1 (poorest),1987,50.3360,46.0988,54.5732,46.2852,49.5355,51.4755,0.0214,0.0020,0.0409,0.0172,0.0248,0.0449
1997,0,Quintile 1 (poorest),1988,50.5928,46.2222,54.9635,46.4683,49.2170,52.1765,0.0214,0.0021,0.0408,0.0180,0.0241,0.0445
1997,0,Quintile 1 (poorest),1989,50.8146,46.2217,55.4074,46.3327,49.0430,52.8910,0.0215,0.0023,0.0408,0.0184,0.0240,0.0444
1997,0,Quintile 1 (poorest),1990,51.0174,46.1016,55.9332,45.9235,48.9180,53.6155,0.0216,0.0024,0.0408,0.0204,0.0238,0.0444
1997,0,Quintile 1 (poorest),1991,51.2317,45.9322,56.5312,45.6868,48.9190,54.3473,0.0217,0.0026,0.0408,0.0212,0.0237,0.0436
1997,0,Quintile 1 (poorest),1992,51.4902,45.8269,57.1534,45.8215,48.8795,54.9967,0.0220,0.0028,0.0411,0.0215,0.0247,0.0433
1997,0,Quintile 1 (poorest),1993,51.8082,45.8628,57.7537,45.9065,48.6430,55.4055,0.0223,0.0030,0.0417,0.0214,0.0275,0.0466
1997,0,Quintile 1 (poorest),1994,52.1842,46.0518,58.3167,46.1695,48.8530,55.5235,0.0227,0.0032,0.0422,0.0209,0.0283,0.0508
