grouping_year,group,group_name,year,le_mean,le_ci_lower,le_ci_upper,le_q1,le_median,le_q3,obes_mean,obes_ci_lower,obes_ci_upper,obes_q1,obes_median,obes_q3
2005,0,Quintile 1 (poorest),1980,48.1292,44.1956,52.0629,44.4245,47.0970,50.8450,0.0199,0.0020,0.0378,0.0182,0.0280,0.0507
2005,0,Quintile 1 (poorest),1981,48.5110,44.4603,52.5617,44.7580,47.6995,51.2237,0.0200,0.0019,0.0382,0.0178,0.0275,0.0500
2005,0,Quintile 1 (poorest),1982,48.8326,44.7077,52.9576,45.0805,48.3350,51.6022,0.0201,0.0017,0.0385,0.0172,0.0269,0.0491
2005,0,Quintile 1 (poorest),1983,49.1323,44.9548,53.3098,45.3755,48.6205,51.9865,0.0202,0.0015,0.0388,0.0167,0.0263,0.0483
2005,0,Quintile 1 (poorest),1984,49.4386,45.2143,53.6629,45.6385,48.7760,52.3788,0.0202,0.0014,0.0390,0.0164,0.0258,0.0474
2005,0,Quintile 1 (poorest),1985,49.7595,45.4896,54.0295,45.8675,49.3735,52.7782,0.0202,0.0013,0.0391,0.0165,0.0255,0.0466
2005,0,Quintile 1 (poorest),1986,50.0874,45.7660,54.4087,46.0752,49.7585,53.1782,0.0202,0.0012,0.0391,0.0167,0.0256,0.0456
2005,0,Quintile 1 (poorest),1987,50.4017,46.0075,54.7960,46.2852,49.6700,53.5730,0.0202,0.0012,0.0391,0.0172,0.0248,0.0449
2005,0,Quintile 1 (poorest),1988,50.6844,46.1643,55.2045,46.4683,49.5845,53.9532,0.0203,0.0013,0.0392,0.0180,0.0241,0.0445
2005,0,Quintile 1 (poorest),1989,50.9309,46.1950,55.6668,46.3590,49.4735,54.3088,0.0204,0.0014,0.0393,0.0184,0.0240,0.0444
2005,0,Quintile 1 (poorest),1990,51.1570,46.1008,56.2132,46.3803,49.3115,54.6358,0.0205,0.0016,0.0394,0.0204,0.0238,0.0444
2005,0,Quintile 1 (poorest),1991,51.3932,45.9527,56.8337,46.3685,49.2625,54.9288,0.0206,0.0017,0.0395,0.0212,0.0237,0.0436
2005,0,Quintile 1 (poorest),1992,51.6725,45.8686,57.4764,46.4892,49.4250,55.3120,0.0209,0.0019,0.0400,0.0215,0.0247,0.0433
2005,0,Quintile 1 (poorest),1993,52.0107,45.9291,58.0924,46.5637,49.5465,55.7985,0.0212,0.0020,0.0405,0.0214,0.0275,0.0466
2005,0,Quintile 1 (poorest),1994,52.4059,46.1466,58.6652,46.5965,49.4500,55.9423,0.0216,0.0023,0.0410,0.0209,0.0283,0.0508
2005,0,Quintile 1 (poorest),1995,52.8479,46.4908,59.2049,46.6003,49.4120,56.4105,0.0221,0.0026,0.0416,0.0207,0.0291,0.0552
2005,0,Quintile 1 (poorest),1996,53.3274,46.9272,59.7275,46.5820,49.4525,56.4625,0.0228,0.0031,0.0425,0.0208,0.0306,0.0592
2005,0,Quintile 1 (poorest),1997,53.8380,47.4265,60.2495,46.6225,49.7100,55.7313,0.0240,0.0039,0.0441,0.0219,0.0339,0.0632
2005,0,Quintile 1 (poorest),1998,54.3683,47.9529,60.7837,46.8012,50.2540,56.4125,0.0257,0.0053,0.0462,0.0245,0.0376,0.0655
2005,0,Quintile 1 (poorest),1999,54.9064,48.4836,61.3293,47.2575,50.7970,57.0733,0.0278,0.0070,0.0486,0.0261,0.0421,0.0662
2005,0,Quintile 1 (poorest),2000,55.4471,49.0185,61.8756,47.5713,51.0220,57.5457,0.0301,0.0091,0.0511,0.0287,0.0464,0.0666
2005,0,Quintile 1 (poorest),2001,55.9923,49.5732,62.4113,48.2782,51.5190,57.9083,0.0325,0.0114,0.0536,0.0306,0.0493,0.0694
2005,0,Quintile 1 (poorest),2002,56.5523,50.1733,62.9313,48.5985,52.0300,58.2590,0.0349,0.0136,0.0561,0.0317,0.0525,0.0720
2005,0,Quintile 1 (poorest),2003,57.1395,50.8389,63.4401,49.3650,52.3065,58.6085,0.0371,0.0155,0.0586,0.0329,0.0550,0.0735
2005,0,Quintile 1 (poorest),2004,57.7591,51.5767,63.9416,50.2815,52.5565,58.9652,0.0394,0.0173,0.0614,0.0341,0.0578,0.0758
2005,0,Quintile 1 (poorest),2005,58.4085,52.3782,64.4388,51.0837,53.4195,59.3330,0.0415,0.0189,0.0640,0.0352,0.0606,0.0823
2005,0,Quintile 1 (poorest),2006,59.0811,53.2283,64.9338,51.8833,53.9775,59.7172,0.0434,0.0204,0.0663,0.0363,0.0634,0.0895
2005,0,Quintile 1 (poorest),2007,59.7690,54.1074,65.4307,52.6490,54.5555,60.1200,0.0452,0.0216,0.0688,0.0375,0.0663,0.0970
2005,0,Quintile 1 (poorest),2008,60.4591,54.9883,65.9300,53.3152,55.2095,60.5370,0.0470,0.0229,0.0710,0.0391,0.0691,0.1041
2005,0,Quintile 1 (poorest),2009,61.1377,55.8463,66.4292,54.1142,55.8960,61.0510,0.0485,0.0242,0.0729,0.0407,0.0702,0.1080
2005,0,Quintile 1 (poorest),2010,61.7944,56.6631,66.9258,54.6118,56.6115,62.2075,0.0500,0.0252,0.0747,0.0432,0.0719,0.1113
2005,0,Quintile 1 (poorest),2011,62.4181,57.4250,67.4112,55.0027,57.3640,63.2020,0.0515,0.0264,0.0766,0.0458,0.0735,0.1145
2005,0,Quintile 1 (poorest),2012,63.0009,58.1247,67.8771,55.4025,58.3795,63.9035,0.0531,0.0279,0.0783,0.0485,0.0745,0.1169
2005,0,Quintile 1 (poorest),2013,63.5437,58.7676,68.3198,55.8603,59.2615,64.4377,0.0545,0.0291,0.0800,0.0506,0.0757,0.1184
2005,0,Quintile 1 (poorest),2014,64.0465,59.3582,68.7348,56.4270,59.6435,64.9342,0.0559,0.0303,0.0816,0.0531,0.0765,0.1193
2005,0,Quintile 1 (poorest),2015,64.5085,59.8968,69.1202,56.9273,59.9870,65.3370,0.0572,0.0314,0.0829,0.0548,0.0773,0.1200
2005,1,Quintile 2,1980,55.5215,48.6147,62.4283,51.2767,56.4390,59.8648,0.0245,-0.0114,0.0605,0.0244,0.0604,0.0846
2005,1,Quintile 2,1981,55.9845,49.0839,62.8851,51.2515,56.6750,60.2627,0.0249,-0.0115,0.0614,0.0251,0.0604,0.0875
2005,1,Quintile 2,1982,56.4076,49.5442,63.2710,51.5192,56.9685,60.9262,0.0253,-0.0115,0.0622,0.0260,0.0602,0.0880
2005,1,Quintile 2,1983,56.7981,49.9795,63.6167,51.9497,57.3275,61.5835,0.0258,-0.0116,0.0632,0.0270,0.0611,0.0875
2005,1,Quintile 2,1984,57.1659,50.3828,63.9491,52.5015,57.7555,62.2092,0.0263,-0.0117,0.0642,0.0278,0.0619,0.0874
2005,1,Quintile 2,1985,57.5183,50.7577,64.2789,53.1522,58.2520,62.7705,0.0267,-0.0118,0.0653,0.0285,0.0618,0.0900
2005,1,Quintile 2,1986,57.8627,51.1126,64.6127,53.8963,58.8135,63.0115,0.0272,-0.0119,0.0663,0.0291,0.0618,0.0924
2005,1,Quintile 2,1987,58.2091,51.4619,64.9562,54.5652,58.9230,63.1890,0.0276,-0.0121,0.0673,0.0297,0.0612,0.0947
2005,1,Quintile 2,1988,58.5610,51.8151,65.3068,55.0375,58.9700,63.3312,0.0281,-0.0123,0.0685,0.0305,0.0602,0.0970
2005,1,Quintile 2,1989,58.9228,52.1824,65.6632,55.4992,58.9615,63.8445,0.0286,-0.0125,0.0696,0.0315,0.0595,0.1000
2005,1,Quintile 2,1990,59.2953,52.5651,66.0255,55.9490,59.1665,64.3757,0.0290,-0.0127,0.0707,0.0325,0.0588,0.1029
